# Assembler.dll Function Rename Mapping
# Format: old_name|new_name
# Total functions: 291

FUN_1003ccc2|CSubFileAssemblerGTIS45_UpdateDataSizeOfTables
FUN_1003cdb4|CSubFileAssemblerGTIS45_ValidateInput
FUN_1003cf01|CSubFileAssemblerGTIS45_ValidateSubfiles
FUN_1003d0a0|CSubFileAssemblerGTIS45_VerifyBlock
FUN_1003d1e7|CSubFileAssemblerGTIS45_VerifyBlocks
FUN_1003d34e|CSubFileAssemblerGTIS45_VerifyTables
FUN_1003d496|CSubFileAssemblerGTIS45_WriteAssemblyOutput
FUN_1003d87b|CSubFileAssemblerGTIS45_WriteCreationDate
FUN_1003dab0|CSubFileAssemblerGTIS45_WriteEndBootLoaderVersion
FUN_1003e16f|CSubFileAssemblerGTIS45_WriteHarnessKeyCompatibilityList
FUN_1003e56a|CSubFileAssemblerGTIS45_WriteHarnessKeyMask
FUN_1003e965|CSubFileAssemblerGTIS45_WriteProductId
FUN_1003eb9e|CSubFileAssemblerGTIS45_WriteStartBootLoaderVersion

# CSubFileAssemblyInput class (5 methods)
FUN_100434f4|CSubFileAssemblyInput_ReadProductInfo
FUN_10043685|CSubFileAssemblyInput_ReadSubfileNames
FUN_10043d1f|CSubFileAssemblyInput_ReadToolFamily
FUN_10043fe6|CSubFileAssemblyInput_ReadUpdateReleaseLevel
FUN_1004427e|CSubFileAssemblyInput_ValidateAndLoadXML

# CSubfileAssemblerBNGCNGBVO class (20 methods)
FUN_10022dba|CSubfileAssemblerBNGCNGBVO_CompareJulianDateValues
FUN_10022f53|CSubfileAssemblerBNGCNGBVO_ConvertToBigEndian
FUN_10023057|CSubfileAssemblerBNGCNGBVO_ConvertToJulian
FUN_10023260|CSubfileAssemblerBNGCNGBVO_CreateBlocks
FUN_100238c9|CSubfileAssemblerBNGCNGBVO_CreateIndexTable
FUN_10023bcb|CSubfileAssemblerBNGCNGBVO_CreateInstanceOfCalBinImageComponent
FUN_10023de7|CSubfileAssemblerBNGCNGBVO_FillHolesInBlock
FUN_10023f3e|CSubfileAssemblerBNGCNGBVO_ProcessHeaders
FUN_1002430a|CSubfileAssemblerBNGCNGBVO_SetDataPlate
FUN_1002451c|CSubfileAssemblerBNGCNGBVO_SetHexBinaryValueInDataPlate
FUN_100247f5|CSubfileAssemblerBNGCNGBVO_SetStringValueInDataPlate
FUN_10024b97|CSubfileAssemblerBNGCNGBVO_ValidateCompatibilityDates
FUN_1002509d|CSubfileAssemblerBNGCNGBVO_ValidateHeaderFile
FUN_10025235|CSubfileAssemblerBNGCNGBVO_ValidateHeaderRecords
FUN_10025381|CSubfileAssemblerBNGCNGBVO_ValidateInput
FUN_100254c8|CSubfileAssemblerBNGCNGBVO_ValidateSubfiles
FUN_10025662|CSubfileAssemblerBNGCNGBVO_VerifyBlock
FUN_100257a9|CSubfileAssemblerBNGCNGBVO_VerifyBlocks
FUN_10025910|CSubfileAssemblerBNGCNGBVO_WriteAssemblyOutput
FUN_10025e3a|CSubfileAssemblerBNGCNGBVO_WriteHeaderRecords

# CSubfileAssemblerC94CPI class (20 methods)
FUN_10026cc1|CSubfileAssemblerC94CPI_CompareJulianDateValues
FUN_10026e5a|CSubfileAssemblerC94CPI_ConvertToBigEndian
FUN_10026f5e|CSubfileAssemblerC94CPI_ConvertToJulian
FUN_10027167|CSubfileAssemblerC94CPI_CreateBlocks
FUN_100277cf|CSubfileAssemblerC94CPI_CreateIndexTable
FUN_10027ad1|CSubfileAssemblerC94CPI_CreateInstanceOfCalBinImageComponent
FUN_10027ced|CSubfileAssemblerC94CPI_FillHolesInBlock
FUN_10027e44|CSubfileAssemblerC94CPI_ProcessHeaders
FUN_1002822a|CSubfileAssemblerC94CPI_SetDataPlate
FUN_1002843c|CSubfileAssemblerC94CPI_SetHexBinaryValueInDataPlate
FUN_10028715|CSubfileAssemblerC94CPI_SetStringValueInDataPlate
FUN_10028a21|CSubfileAssemblerC94CPI_ValidateCompatibilityDates
FUN_10028f28|CSubfileAssemblerC94CPI_ValidateHeaderFile
FUN_100290c0|CSubfileAssemblerC94CPI_ValidateHeaderRecords
FUN_1002920c|CSubfileAssemblerC94CPI_ValidateInput
FUN_1002934d|CSubfileAssemblerC94CPI_ValidateSubfiles
FUN_100294e7|CSubfileAssemblerC94CPI_VerifyBlock
FUN_1002962e|CSubfileAssemblerC94CPI_VerifyBlocks
FUN_10029795|CSubfileAssemblerC94CPI_WriteAssemblyOutput
FUN_10029b85|CSubfileAssemblerC94CPI_WriteHeaderRecords

# CSubfileAssemblerComponent class (8 methods)
FUN_1002aa4c|CSubfileAssemblerComponent_Assemble
FUN_1002abc5|CSubfileAssemblerComponent_CreateImplementationClass
FUN_1002b065|CSubfileAssemblerComponent_GetIDsOfNames
FUN_1002b29f|CSubfileAssemblerComponent_getGTISVersionFromSub
FUN_1002b4b1|CSubfileAssemblerComponent_get_Configuration
FUN_1002b666|CSubfileAssemblerComponent_get_Group
FUN_1002b7b7|CSubfileAssemblerComponent_put_Configuration
FUN_1002bf5d|CSubfileAssemblerComponent_put_Group

