address,ref_count,range,tier,batch_id
0x003fed9c,7,003fxxxx,clean,10
0x003fb9fe,7,003fxxxx,in_window,11
0x003fbc90,7,003fxxxx,in_window,12
0x003fbc98,7,003fxxxx,in_window,12
0x003fddb8,7,003fxxxx,clean,14
0x003fddba,7,003fxxxx,clean,14
0x003fbd28,7,003fxxxx,in_window,16
0x003fbd3e,7,003fxxxx,in_window,18
0x003fdfba,7,003fxxxx,clean,18
0x003fbdd3,7,003fxxxx,in_window,25
0x003fbddf,7,003fxxxx,in_window,25
0x003fbdf3,7,003fxxxx,in_window,25
0x003fcd04,7,003fxxxx,in_window,32
0x003fcd64,7,003fxxxx,in_window,33
0x003fcddc,7,003fxxxx,in_window,40
0x003fce12,7,003fxxxx,in_window,44
0x003fce01,7,003fxxxx,in_window,45
0x003fce0a,7,003fxxxx,in_window,45
0x003fce28,7,003fxxxx,in_window,47
0x003fce2e,7,003fxxxx,in_window,48
0x003fce9e,7,003fxxxx,in_window,52
0x003fee68,7,003fxxxx,clean,65
0x003fcfdc,7,003fxxxx,in_window,67
0x003fcfe4,7,003fxxxx,in_window,67
0x003fd053,7,003fxxxx,in_window,70
0x003fd06e,7,003fxxxx,in_window,71
0x003fd082,7,003fxxxx,in_window,72
0x003fd16e,7,003fxxxx,in_window,79
0x003fd196,7,003fxxxx,in_window,82
0x003fd19c,7,003fxxxx,in_window,82
0x003fd1a0,7,003fxxxx,in_window,82
0x003fd1a8,7,003fxxxx,in_window,83
0x003fd1c0,7,003fxxxx,in_window,84
0x003fd1c2,7,003fxxxx,in_window,84
0x003fd938,7,003fxxxx,in_window,84
0x003fd1f0,7,003fxxxx,in_window,89
0x003fd207,7,003fxxxx,in_window,90
0x003fd20d,7,003fxxxx,in_window,90
0x003fd226,7,003fxxxx,in_window,91
0x003fd26a,7,003fxxxx,in_window,95
0x003fd47c,7,003fxxxx,in_window,101
0x00408736,6,0040xxxx,clean,1
0x0040b230,6,0040xxxx,clean,1
0x0040b2a2,6,0040xxxx,clean,2
0x0040b2aa,6,0040xxxx,clean,2
0x0040b2c2,6,0040xxxx,clean,2
0x004088de,6,0040xxxx,clean,3
0x0040b9b4,6,0040xxxx,clean,3
0x00408e0c,6,0040xxxx,clean,4
0x0040b6b0,6,0040xxxx,clean,4
0x0040b6be,6,0040xxxx,clean,4
0x00409ebc,6,0040xxxx,clean,7
0x0040ba42,6,0040xxxx,clean,8
0x0040aaa6,6,0040xxxx,clean,12
0x0040c05f,6,0040xxxx,clean,12
0x0040a198,6,0040xxxx,clean,13
0x0040a19c,6,0040xxxx,clean,13
0x0040a7d4,6,0040xxxx,clean,19
0x0040ae6c,6,0040xxxx,clean,24
0x0040af07,6,0040xxxx,clean,26
0x0040be28,6,0040xxxx,clean,32
0x0040b0fa,6,0040xxxx,clean,33
0x0040b19e,6,0040xxxx,clean,34
0x0040b336,6,0040xxxx,clean,34
0x0040b32c,6,0040xxxx,clean,35
0x0040b1fe,6,0040xxxx,clean,38
0x0040b200,6,0040xxxx,clean,38
0x0040b2d0,6,0040xxxx,clean,41
