parameter,internal_name,address,size,unit,scale,description
Throttle_Validation_Switch_High_Error,ADTHHIER,0x01103608,2,UNITLESS,10,[ADTHHIER] Error set when throttle switches are both active
Throttle_Validation_Switch_Low_Error,ADTHLOER,0x01103606,2,UNITLESS,4000,[ADTHLOER] Error set when throttle switches are both inactive
Throughput_Percent_Busy,,0x0115C602,2,%,0.00390625,Throughput percent busy time.
Throughput_Percent_Idle,,0x0115C600,2,%,0.00390625,Throughput percent idle time.
Time_Overspeed_Allowed,FSOSEN,0x01103204,2,MSEC,20.0,[FSOSEN] Time before triggering Engine Overspeed
Time_Total_Offset,TITMT2OF,0x01000850,4,HR,0.2,[TITMT2OF] Tool Previous ECM Engine Time for offset of Engine Total Time adj parameter
Timing_Hold_Current_PWM,,0x01156544,2,UNITLESS,1.0,Initial Creation. Should be moved to CM870 lib
Timing_Hold_Current_PWM_Control_Status,,0x01156904,2,UNITLESS,0004,Timing_Hold_Current_PWM OS control error status flag
Timing_Hold_Current_PWM_Duty_Cycle,,0x01151C44,2,%,0.00390625,Timing_Hold_Current_PWM duty cycle for monitoring.
Timing_Hold_Current_PWM_Period,,0x01152788,4,uSEC,1.0,Timing_Hold_Current_PWM period in us for monitoring.
Timing_Pullin_Current_PWM,,0x01156542,2,UNITLESS,1.0,Initial Creation. Should be moved to CM870 lib
Timing_Pullin_Current_PWM_Control_Status,,0x01156904,2,UNITLESS,0002,Timing_Pullin_Current_PWM OS control error status flag
Timing_Pullin_Current_PWM_Duty_Cycle,,0x01151C42,2,%,0.00390625,Timing_Pullin_Current_PWM duty cycle for monitoring.
Timing_Pullin_Current_PWM_Period,,0x01152784,4,uSEC,1.0,Timing_Pullin_Current_PWM period in us for monitoring.
Timing_State_Incr,TSSTIC,0x01103B06,2,HEX,1.0,[TSSTIC] Timing state increment parameter
Timing_State_Incr_Before_CBL,,0x01171B12,2,HEX,1,Algorithms that adjusted timing prior to execution of CBL
Tire_Size,,0x01132C00,2,UNITLESS,1,NUMBER OF TIRE REVOLUTIONS PER MILE -FOR TOOL USE ONLY
Tool_ASG_Droop_Gain1_Maximum,ASTL01MX,0x0100091A,2,RPM,0.12500000,[ASTL01MX] Maximum for ASG_Droop_Gain1
Tool_ASG_Droop_Gain1_Minimum,ASTL01MN,0x01000918,2,RPM,0.12500000,[ASTL01MN] Minimum for ASG_Droop_Gain1
Tool_ASG_Droop_Gain2_Maximum,ASTL02MX,0x0100091E,2,RPM,0.125,[ASTL02MX] Maximum for ASG_Droop_Gain2
Tool_ASG_Droop_Gain2_Minimum,ASTL02MN,0x0100091C,2,RPM,0.125,[ASTL02MN] Minimum for ASG_Droop_Gain2
Tool_ASG_Maximum_Speed_Maximum,ASTLMXMX,0x01000926,2,RPM,0.12500000,[ASTLMXMX] Maximum allowed speed for ASG_Maximum_Speed
Tool_ASG_Maximum_Speed_Minimum,ASTLMXMN,0x01000924,2,RPM,0.12500000,[ASTLMXMN] Minimum allowed speed for ASG_Maximum_Speed
Tool_ASG_Minimum_Speed_Maximum,ASTLMNMX,0x01000922,2,RPM,0.12500000,[ASTLMNMX] Maximum allowed speed for ASG_Minimum_Speed
Tool_ASG_Minimum_Speed_Minimum,ASTLMNMN,0x01000920,2,RPM,0.12500000,[ASTLMNMN] Minimum allowed speed for ASG_Minimum_Speed
Tool_CZ_EB_Max_BR_Speed_Delta_Low_Lim,,0x0112CA0C,2,MPH,0.0078125,The minimum speed a customer may program to correspond with 100% braking.
Tool_CZ_EB_Max_BR_Speed_Delta_Upp_Lim,,0x0112CA0A,2,MPH,0.0078125,The maximum speed a customer may program to correspond with 100% braking.
Tool_CZ_EB_Start_BR_Speed_Delta_Low_Lim,,0x0112CA10,2,MPH,0.0078125,The minimum speed a customer may program to correspond with start braking.
Tool_CZ_EB_Start_BR_Speed_Delta_Upp_Lim,,0x0112CA0E,2,MPH,0.0078125,The maximum speed a customer may program to correspond with start of braking.
Tool_Compatibility,,0x01001200,2,HEX,1,Indicates the versions of the tools compatible with the ECM.
Tool_Cruise_Bottom_Droop_Width_Upper_Lim,CRBDWDMX,0x01000964,2,MPH,0.00390625,[CRBDWDMX] MAXMIMUM WIDTH OF THE BOTTOM DROOP IN CRUISE.
Tool_Cruise_Max_Road_Speed_Lower_Limit,CRMXLOLM,0x01000960,2,MPH,0.00390625,[CRMXLOLM] Minimum range value for Cruise_Max_Road_Speed
Tool_Cruise_Max_Road_Speed_Upper_Limit,CRMXHILM,0x01000962,2,MPH,0.00390625,[CRMXHILM] Maximum range value for Cruise_Max_Road_Speed
Tool_Cruise_Top_Droop_Width_Upper_Lim,CRTDWDMX,0x01000966,2,MPH,0.00390625,[CRTDWDMX] MAXMIMUM WIDTH OF THE TOP DROOP IN CRUISE.
Tool_DR_ESP_Reward_Lower_Limit,DREZDCMN,0x01000992,2,MPH,0.00390629983,[DREZDCMN] Driver Minimum ESP_Delta reward
Tool_DR_ESP_Reward_Upper_Limit,DREZDCMX,0x01000994,2,MPH,0.00390629983,[DREZDCMX] Driver Maximum ESP_Delta reward
Tool_DR_MPG_Threshold_Upper_Limit,DRFETDMX,0x01000982,2,MPG,0.00390629983,[DRFETDMX] Maximum MPG allowed to be entered on the tool
Tool_DR_RSG_CC_Reward_Lower_Limit,DRRZDCMN,0x01000996,2,MPH,0.00390629983,"[DRRZDCMN] Driver Minimum allowed RSG Shift reward, via tool"
Tool_DR_RSG_CC_Reward_Upper_Limit,DRRZDCMX,0x01000998,2,MPH,0.00390629983,"[DRRZDCMX] Driver Maximum allowed RSG Shift reward, via tool"
Tool_EB_Level_Dwell_Upp_Lim,EBULEBLD,0x01000984,2,SEC,0.0200,"[EBULEBLD] Upper Limit to EBLVDW, which is min. req. time at any E-brake level"
Tool_EB_Min_Road_Speed_Upp_Lim,EBULEBRZ,0x01000986,2,RPM,0.00390625,"[EBULEBRZ] Upper Limit to EBMNRZ, which is mph above which EB is engageable"
Tool_Governor_Droop_Maximum_Percent,HSTLDPMX,0x0100093A,2,%,0.00390625,[HSTLDPMX] Tool maximum limit for All Governors Droop Percent adjustable parameters
Tool_Governor_Droop_Minimum_Percent,HSTLDPMN,0x01000938,2,%,0.00390625,[HSTLDPMN] Tool minimum limit for All Governors Droop Percent adjustable parameters
Tool_HSG_Breakpoint_Speed_Maximum,HSTLBKMX,0x01000904,2,RPM,0.125,[HSTLBKMX] Upper limit of HSG Breakpoint Speed
Tool_HSG_Breakpoint_Speed_Minimum,HSTLBKMN,0x01000902,2,RPM,0.125,[HSTLBKMN] Lower limit of HSG Breakpoint Speed
Tool_HSG_Droop_Intercept_Maximum,HSTLINMX,0x01000932,2,MM3S,0.06793478400,[HSTLINMX] Maximum of fueling intercept used in determining HSG droop reference
Tool_HSG_Droop_Intercept_Minimum,HSTLINMN,0x01000930,2,MM3S,0.06793478400,[HSTLINMN] Minimum of fueling intercept used in determining HSG droop reference
Tool_HSG_Droop_Slope_Maximum,HSTLSLMX,0x0100092E,2,RPM/MM3S,0.00042114258,[HSTLSLMX] Maximum value of slope of line defining HSG droop line
Tool_HSG_Droop_Slope_Minimum,HSTLSLMN,0x0100092C,2,RPM/MM3S,0.00042114258,[HSTLSLMN] Minimum value of slope of HSG droop line
Tool_HSG_Droop_Type_Select_Maximum,HSTLTYMX,0x01000936,2,HEX,1.0,[HSTLTYMX] maximum value of indicator of what type switch is connected
Tool_HSG_Droop_Type_Select_Minimum,HSTLTYMN,0x01000934,2,HEX,1.0,[HSTLTYMN] minimum value of indicator of what type switch is connected
Tool_HSG_OEM_Breakpoint_Speed_Max,HSOMBKMX,0x01000872,2,RPM,0.125,[HSOMBKMX] Trimmable upper limit of HSG Breakpoint Speed
Tool_HSG_OEM_Breakpoint_Speed_Min,HSOMBKMN,0x01000870,2,RPM,0.125,[HSOMBKMN] Trimmable lower limit of HSG Breakpoint Speed
Tool_HS_Load_Factor_Shutdown_LL,OCTLSHMN,0x0100097E,2,%,0.01,[OCTLSHMN] Tool minimum for Hot Shutdown Load Factor Threshold
Tool_HS_Load_Factor_Shutdown_UL,OCTLSHMX,0x01000980,2,%,0.01,[OCTLSHMX] Tool minimum for Hot Shutdown Load Factor Threshold
Tool_Idle_Shutdown_Max_IMT_Lower_Limit,ISMNXMLL,0x0100098E,2,DEG_F,0.015625,[ISMNXMLL] Lowest extremely warm temperature
Tool_Idle_Shutdown_Max_IMT_Upper_Limit,ISMXIMUL,0x01000990,2,DEG_F,0.015625,[ISMXIMUL] Highest extremely warm temperature
Tool_Idle_Shutdown_Max_Shutdown_Period,ISMXTMLM,0x0100093C,2,SEC,2,[ISMXTMLM] Most time lfrom start to shutdown flag active
Tool_Idle_Shutdown_Min_IMT_Lower_Limit,ISMNIMLL,0x0100098A,2,DEG_F,0.015625,[ISMNIMLL] Lowest extremely cold temperature
Tool_Idle_Shutdown_Min_IMT_Upper_Limit,ISMNIMUL,0x0100098C,2,DEG_F,0.015625,[ISMNIMUL] Highest extremely cold temperature
Tool_Idle_Shutdown_Min_Shutdown_Period,ISMNTMLM,0x0100093E,2,SEC,2,[ISMNTMLM] Least time from start to shutdown flag active
Tool_LSG_Idle_Speed_Lower_Limit,LSTLBKMN,0x01000928,2,RPM,0.125,[LSTLBKMN] tool lowest allowable low idle speed
Tool_LSG_Idle_Speed_Upper_Limit,LSTLBKMX,0x0100092A,2,RPM,0.125,[LSTLBKMX] tool highest allowable low idle speed
Tool_Light_Load_PTO_Percent_Fuel_Low_Lim,ZVLDTDLL,0x01000942,2,%,0.00390625,"[ZVLDTDLL] Minimum limit on Light_Load_PTO_Percent_Fuel, used by tool"
Tool_Light_Load_PTO_Percent_Fuel_Upp_Lim,ZVLDTDUL,0x01000940,2,%,0.00390625,"[ZVLDTDUL] Maximum limit on Light_Load_PTO_Percent_Fuel, used by tool"
Tool_Max_Engine_Speed_With_Zero_Vss_Lower_Limit,ZVTLMNES,0x01000944,2,RPM,0.125,"[ZVTLMNES] Minimum limit on Max_Engine_Speed_With_Zero_Vss, used by the tool"
Tool_Max_Engine_Speed_With_Zero_Vss_Upper_Limit,ZVTLMXES,0x01000946,2,RPM,0.125,"[ZVTLMXES] Maximum limit on Max_Engine_Speed_With_Zero_Vss, used by the tool"
Tool_Max_Road_Speed_Low_Lim,CRVSRFLL,0x0100095C,2,MPH,0.00390625,[CRVSRFLL] Lowest valid RSMXRZTM enterable by the tool
Tool_Max_Road_Speed_Upp_Lim,CRVSRFUL,0x0100095E,2,MPH,0.00390625,[CRVSRFUL] Highest valid RSMXRZTM enterable by the tool
Tool_PTO_Droop_Adj_Offset_Maximum,PTTLOFMX,0x01000912,2,UNITLESS,0.000061035,[PTTLOFMX] Tool maximum limit for PTO Droop Adjust Offset adjustable parameter
Tool_PTO_Droop_Adj_Offset_Minimum,PTTLOFMN,0x01000910,2,UNITLESS,0.000061035,[PTTLOFMN] Tool minimum limit for PTO Droop Adjust Offset adjustable parameter
Tool_PTO_Droop_Adj_Slope_Maximum,PTTLADMX,0x01000916,2,UNITLESS,0.000015259,[PTTLADMX] Tool maximum limit for PTO Droop Adjust Offset adjustable parameter
Tool_PTO_Droop_Adj_Slope_Minimum,PTTLADMN,0x01000914,2,UNITLESS,0.000015259,[PTTLADMN] Tool minimum limit for PTO Droop Adjust Offset adjustable parameter
Tool_PTO_Droop_Slope_Maximum,PTTLSLMX,0x0100090E,2,RPM/MM3S,0.00168457025,[PTTLSLMX] Tool maximum limit for PTO Droop Slope adjustable parameter
Tool_PTO_Droop_Slope_Minimum,PTTLSLMN,0x0100090C,2,RPM/MM3S,0.00168457025,[PTTLSLMN] Tool minimum limit for PTO Droop Slope adjustable parameter
Tool_PTO_Engagement_Slew_Rate_Maximum,PTTLESMX,0x01000952,2,RPM/SEC,6.25,[PTTLESMX] Tool upper limit on PTO_Engagement_Slew_Rate
Tool_PTO_Engagement_Slew_Rate_Minimum,PTTLESMN,0x01000950,2,RPM/SEC,6.25,[PTTLESMN] Tool lower limit on PTO_Engagement_Slew_Rate
Tool_PTO_Max_Reference_Speed_Lower_Limit,PTESLOLM,0x01000906,2,RPM,0.12500000,[PTESLOLM] Low limit for max. pto setpoints
Tool_PTO_Max_Reference_Speed_Upper_Limit,PTESHILM,0x01000908,2,RPM,0.12500000,[PTESHILM] High limit for max. pto setpoints
Tool_PTO_Max_Road_Speed_Max,PTTLRSMX,0x01000988,2,MPH,0.00390625,[PTTLRSMX] Tool upper limit on PTO_Max_Road_Speed
Tool_PTO_Min_Reference_Speed_Lower_Limit,PTMNRFLL,0x01000978,2,RPM,0.125,[PTMNRFLL] Lowest allowed value for PTO_Minimum_Reference_Speed entered on tool.
Tool_PTO_Minimum_Reference_Speed,PTMNRFES,0x0100090A,2,RPM,0.12500000,[PTMNRFES] min range limit for pto setpoints
Tool_PTO_Ramp_Rate_Maximum,PTTLRRMX,0x0100094E,2,RPM/SEC,1.250000,[PTTLRRMX] Tool upper limit on PTO_Ramp_Rate
Tool_PTO_Ramp_Rate_Minimum,PTTLRRMN,0x0100094C,2,RPM/SEC,1.250000,[PTTLRRMN] Tool lower limit on PTO_Ramp_Rate
Tool_PTP_Torque_Lower_Limit,TCTQLL,0x01000956,2,FT*LB,1.0,[TCTQLL] Min input torque
Tool_PTP_Torque_Upper_Limit,TCTQUL,0x01000954,2,FT*LB,1.0,[TCTQUL] Max input torque
Tool_RSG_Bottom_Droop_Width_Upper_Lim,RSBDWDMX,0x01000968,2,MPH,0.00390625,[RSBDWDMX] MAXMIMUM WIDTH OF THE BOTTOM DROOP IN RSG.
Tool_RSG_Top_Droop_Width_Upper_Lim,RSTDWDMX,0x0100096A,2,MPH,0.00390625,[RSTDWDMX] MAXMIMUM WIDTH OF THE TOP DROOP IN RSG.
Tool_Rear_Axle_Ratio_Lower_Limit,VSAXLOLM,0x0100097C,2,UNITLESS,0.00779999979,[VSAXLOLM] min range value assigned to Rear_Axle_Ratio
Tool_Rear_Axle_Ratio_Upper_Limit,VSAXHILM,0x0100097A,2,UNITLESS,0.00779999979,[VSAXHILM] max range value
Tool_Road_Speed_Constant_Lower_Limit,VSRDLOLM,0x0100099A,4,UNITLESS,1,[VSRDLOLM] min range value
Tool_Road_Speed_Constant_Upper_Limit,VSRDHILM,0x0100099E,4,UNITLESS,1,[VSRDHILM] max range value
Tool_Tire_Size_Lower_Limit,VSTILOLM,0x01000958,2,UNITLESS,1,[VSTILOLM] min range value assigned for Tire_Size
Tool_Tire_Size_Upper_Limit,VSTIHILM,0x0100095A,2,UNITLESS,1,[VSTIHILM] max range value assigned for Tire_Size
Tool_UL_Cruise_RSG_Gain,,0x0111891E,2,UNITLESS,0.01,TOOL MAXIMUM ACCEPTABLE CRUISE_RSG_GAIN VALUE
Top_Gear_Ratio,,0x0111850A,2,UNITLESS,0.00048828125,GEAR RATIO ABOVE WHICH THE TRANSMISSION IS CONSIDERED IN TOP GEAR
Torque_Control_Indication,,0x0110510E,2,UNITLESS,1,Set to 1 if torque control fuel or speed limit active
Torque_Curve_Select_Map,,0x01151F1C,2,UNITLESS,1.0,Torque_Curve_Select mapping index to HW channel
Torque_Curve_Select_Ratio_Supply_ID,,0x01193A1C,2,UNITLESS,1.0,Torque_Curve_Select mapping index to Sensor Supply ID
Torque_Derate_Fueling,FSLMFL,0x01105D00,2,MM3S,0.06793478400,[FSLMFL] Smallest derate fueling value produced by the derate algorithms
Torque_Derate_Fueling_2,FLLMAHFL,0x01105D06,2,MM3S,0.06793478400,[FLLMAHFL] Smallest derate fueling value among group 2 (AH) derate algorithms
Torque_Derate_Fueling_State,FSLMFLST,0x01105D02,2,UNITLESS,1,[FSLMFLST] Indicator as to which algorithm is controlling fuel after it has been limited
Torque_Derate_Fueling_State_2,FSLMAHST,0x01105D08,2,UNITLESS,1,[FSLMAHST] Indicator as to which algorithm is controlling fuel in group 2 (AH)
Torque_Derate_Override,FSTQDQUO,0x01125E00,2,MM3S,0.06793478200,[FSTQDQUO] Engineering torque derate fueling override
Torque_Derate_Override_Enable,FSTQUOEN,0x01106B04,2,UNITLESS,10,[FSTQUOEN] Bit 4 Word 1. Enable indicator for torque derate fuel override
Torque_Derate_Switch_Source_Address_Enable,MXTQSWSA,0x0112E809,1,HEX,1.0,[MXTQSWSA] Source Address allowed for MUXing Torque Derate Switch parameter
Torque_Derate_Torque,TQDQTQ,0x0110510A,2,FT_LB,1.0,[TQDQTQ] min torque limit in foot-pounds
Torque_Derate_Torque_State,TQDQTQST,0x0110510C,2,UNITLESS,1.0,[TQDQTQST] indicates origin of TQDQTA value
Torque_Derate_Turbo_Fueling,,0x01109F06,2,MM3S,0.06793478400,Derate fueling value if input to turbo speed/COT estimater is corrupt
Torque_Mgmt_47RE_GR,,0x018A570A,2,UNITLESS,0.00048828125,Gear ratio below which will cause 47RE trans to be in torq mgmt
Torque_Mgmt_Alpha_Axis,,0x018A5A00,2,UNITLESS,6.103515625E-05,Alpha axis for torque management table
Torque_Mgmt_Cold_Increment_Enable,,0x01106B56,2,UNITLESS,0200,Enable to add Cold_Delta_Fuel to Torque_Mgmt_Fueling
Torque_Mgmt_Delay_Time,,0x018A5700,2,SEC,0.04,Delay time for fueling transition from torq mgmt to full fueling
Torque_Mgmt_Enable,,0x01106B52,2,UNITLESS,1000,Enable for Torque Management Feature
Torque_Mgmt_Engine_Speed_Axis,,0x018A5900,2,RPM,0.125,Engine Speed axis for torque management table
Torque_Mgmt_Final_Fueling_Offset,,0x018A5708,2,MM3S,0.06793478400,Torque mgmt fueling offset for positive slew rate limit; added to final fueling
Torque_Mgmt_Fueling,,0x018A5800,2,MM3S,0.06793478400,Fueling limit as calculated by Torque Mgmt algorithm
Torque_Mgmt_Fueling_Table,,0x018A5B00,2,MM3S,0.06793478400,Fueling output of Torque Mgmt table
Torque_Mgmt_GR_Enable,,0x01106B56,2,UNITLESS,0800,Enable to
Torque_Mgmt_Manual_GR,,0x018A5702,2,UNITLESS,0.00048828125,Gear ratio above which will cause manual TX to be in torq mgmt
Torque_Mgmt_Manual_GR0,,0x018A570C,2,UNITLESS,0.00048828125,Gear ratio above which will cause manual TX to use 4D table bpkt 0
Torque_Mgmt_Manual_GR1,,0x018A570E,2,UNITLESS,0.00048828125,Gear ratio above which will cause manual TX to use 4D table bpkt 1
Torque_Mgmt_Manual_GR2,,0x018A5710,2,UNITLESS,0.00048828125,Gear ratio above which will cause manual TX to use 4D table bpkt 2
Torque_Mgmt_Neg_Slew_Rate,,0x018A5704,2,MM3S,0.06793478400,Amount by which fuel will be reduced every 40 ms when entering torq mgmt
Torque_Mgmt_Pos_Slew_Rate,,0x018A5706,2,MM3S,0.06793478400,Amount by which fuel will be increased every 40 ms when exiting torq mgmt
Torque_Mgmt_Required,,0x018A5802,2,UNITLESS,1,Indicates that vehicle conditions are met that require torque mgmt
Torque_Normalization_Enable,,0x01106B54,2,UNITLESS,0800,Changes all Jcomm torque references normalized to MT_Max_Torque_Map.
Total_Distance,TIT2MI,0x01117F00,4,MI,0.000125,[TIT2MI] The total non-resetable distance this engine has traveled
Total_Distance_At_Reset,,0x018B500E,4,MI,0.000125,Total miles traveled at the last OCM reset
Total_Fuel_Delivered,TIITFU,0x01819222,4,GAL,1.79465E-08,[TIITFU] Integrated fuel delivered by the fuel system since engine turn-on in gal or lbs
Total_Fuel_Used,,0x018B6D00,4,GAL,0.00007350877965,Total non-resetable fuel consumed by this engine in gallons or lbsm
Total_Fueling,,0x01120C0A,2,MM3S,0.06793478240,Desired Total Fueling (Pilot+Main+Post)
Total_Idle_Fuel_Used,TIT2ISFU,0x01117F0A,4,GAL,0.00007350877965,[TIT2ISFU] ACCUMULATED AMOUNT OF FUEL USED DURING VEHICLE OPERATION WHILE UNDER IDLE CONDI
Total_Idle_Time,TIT2ISTM,0x018B6D04,4,HR,0.0000277777,[TIT2ISTM] The total non-resetable engine-idle-speed operating time for this engine
Total_O2_in_Cylinder,,0x01174E0E,2,MM3S,0.13586956500,Mass of total O2 in-cylinder before combustion
Total_Time,TIT2TM,0x018B6D08,4,HR,0.00002777778,[TIT2TM] The total non-resetable operating time for this engine
Trans_Cal_Version_Number,,0x018D1700,4,HEX,1,Transmission Overlay version number
Trans_Clt_Derate_Enable,TSCQDQEN,0x01106B3C,2,UNITLESS,8,[TSCQDQEN] Calibration trim used to enable the Coolant Temp Derate algorithm
Trans_Clt_Rtrd_Enable,TSCQTAEN,0x01106B3C,2,UNITLESS,4,[TSCQTAEN] Calibration trim used to enable the Coolant Temp Retard algorithm
Trans_DTC,,0x018A123B,2,UNITLESS,1,"Chrysler DR Message $6C,18 data containing Transmission DTC/Pcode."
Trans_Gov_Press_Default,,0x01196674,2,PSI,0.0078125,Trans_Governor oil pressure AD global default value
Trans_Gov_Press_Sensor,,0x01196676,2,PSI,0.0078125,Trans_Governor oil pressure value linearized and filtered
Trans_Gov_Press_Status,,0x0119633A,2,UNITLESS,FFFF,Transmission Governor Press Status
Trans_Gov_Press_Status,,0x0119633A,2,UNITLESS,FFFF,Transmission Governor Press Status
Trans_OSS,,0x018B4102,2,RPM,0.125,Transmission output shaft speed
Trans_Oil_Tmptr_Default,,0x0119667A,2,DEG_F,0.015625,Trans_Oil_Tmptr_Sensor global default value
Trans_Oil_Tmptr_Sensor,,0x01196678,2,DEG_F,0.015625,Trans_Oil_Temperature raw value linearized and filtered
Trans_Oil_Tmptr_Status,,0x0119633C,2,UNITLESS,FFFF,Trans_Oil Temperature Status
Trans_Oil_Tmptr_Status,,0x0119633C,2,UNITLESS,FFFF,Trans_Oil Temperature Status
Trans_Sump_Limpin_Delay,,0x018B9A02,4,SEC,0.01,Delay for RE_Trans_Temp determination.
Trans_TC_Stall_RPM,,0x018B4108,2,RPM,0.125,Stall TM determined threshold to approach aggressive derate
Transient_Fueling_Axis_4_D_Time,_4DTA00YA,0x01103F00,2,MM3S,0.06793478400,[_4DTA00YA] Fueling axis for the transient timing table (16 values)
Transient_RPM_Axis_4_D_Fuel,_5DFL00XA,0x01105800,2,RPM,0.125,[_5DFL00XA] Engine speed axis for the transient 4D fueling table (21 values)
Transient_Rpm_Axis_4_D_Time,_4DTA00XA,0x01104000,2,RPM,0.125,[_4DTA00XA] Engine speed axis for the transient timing advance table (17 values)
Transient_Table_4_D_Fuel,_5DFL00ZA,0x01105900,2,MM3S,0.06793478400,[_5DFL00ZA] Transient fuel look-up table used by 4D fueling to determine throttle command f
Transient_Table_4_D_Time,_4DTA00ZA,0x01104100,2,CRANK_DEG_BTDC,0.1171875,[_4DTA00ZA] Timing advance look-up table for transient engine operation (19 x 16 values)
Transient_Throttle_Axis_4_D_Fuel,_5DFL00YA,0x01105700,2,%THROTTLE,0.25,[_5DFL00YA] Throttle axis for the transient 4D fueling table (4 values)
Transition_State,CTTZST,0x01104706,2,UNITLESS,1,[CTTZST] state of potentiometer and idle validation switch readings
Transmission_Governor_Pressure,,0x011515CC,2,PSI,0.0078125,Transmission_Governor_Pressure raw value linearized and filtered
Transmission_Governor_Pressure_AD_Enable,,0x0115320C,2,UNITLESS,0040,Enable bit for the Transmission_Governor_Pressure sensor.
Transmission_Governor_Pressure_Fault_Clear,,0x018BA80E,2,CNTS,1.0,Transmission_Governor_Pressure_Fault_Count when error cleared
Transmission_Governor_Pressure_Fault_Count,,0x018BA904,2,CNTS,1.0,Transmission_Governor_Pressure out of range error count
Transmission_Governor_Pressure_Fault_Decrement,,0x018BA80A,2,CNTS,1.0,Transmission_Governor_Pressure decrement value for setting error
Transmission_Governor_Pressure_Fault_Increment,,0x018BA808,2,CNTS,1.0,Transmission_Governor_Pressure increment value for setting error
Transmission_Governor_Pressure_Fault_Set,,0x018BA80C,2,CNTS,1.0,Transmission_Governor_Pressure_Fault_Count when error set
Transmission_Governor_Pressure_Filter_Constant,,0x018BA800,2,UNITLESS,0.0000152587890,Transmission_Governor_Pressure AD Filter Constant
Transmission_Governor_Pressure_Global_Default,,0x018BA802,2,PSI,0.0078125,Transmission_Governor_Pressure AD global default value
Transmission_Governor_Pressure_High_Error,,0x01103624,2,UNITLESS,0800,Transmission_Governor_Pressure High Error Indication
Transmission_Governor_Pressure_High_Limit,,0x018BA804,2,CNTS,1.0,Transmission_Governor_Pressure high limit for the raw value
Transmission_Governor_Pressure_Init_Default,,0x018B2B0C,2,UNITLESS,0040,Raw or default init bit for the Transmission_Governor_Pressure sensor.
Transmission_Governor_Pressure_Is_Refreshed,,0x0115600C,2,UNITLESS,0040,Transmission_Governor_Pressure raw data refreshed flag.
Transmission_Governor_Pressure_Low_Error,,0x01103624,2,UNITLESS,1000,Transmission_Governor_Pressure Low Error Indication
Transmission_Governor_Pressure_Low_Limit,,0x018BA806,2,CNTS,1.0,Transmission_Governor_Pressure low limit for the raw value
Transmission_Governor_Pressure_Map,,0x01151FCC,2,UNITLESS,1.0,Transmission_Governor_Pressure mapping index to HW channel
Transmission_Governor_Pressure_Override,,0x0115330C,2,UNITLESS,0040,Filtered value override bit for the Transmission_Governor_Pressure sensor.
Transmission_Governor_Pressure_Priority,,0x018BA908,1,UNITLESS,1.0,Transmission_Governor_Pressure mux override priority
Transmission_Governor_Pressure_Ratio_Supply_ID,,0x01193ACC,2,UNITLESS,1.0,Transmission_Governor_Pressure mapping index to Sensor Supply ID
Transmission_Governor_Pressure_Raw,,0x018BA900,2,CNTS,1.0,Transmission_Governor_Pressure sampled raw value
Transmission_Governor_Pressure_Raw_Adjusted,,0x018BA90A,2,CNTS,1.0,Transmission_Governor_Pressure adjusted raw value
Transmission_Governor_Pressure_Raw_Override,,0x0115340C,2,UNITLESS,0040,Enable bit for the Transmission_Governor_Pressure sensor.
Transmission_Governor_Pressure_Raw_Priority,,0x01152066,1,UNITLESS,1.0,Transmission_Governor_Pressure current raw override priority
Transmission_Governor_Pressure_Raw_User_Value,,0x011529CC,2,UNITLESS,1.0,Transmission_Governor_Pressure raw override user value
Transmission_Governor_Pressure_Unfiltered,,0x018BA902,2,PSI,0.0078125,Transmission_Governor_Pressure raw value linearized but unfiltered
Transmission_Governor_Pressure_User_Value,,0x018BA906,2,PSI,0.0078125,Transmission_Governor_Pressure Filtered Value User Value
Transmission_Governor_Pressure_X_Axis,,0x018BAA00,2,CNTS,1.0,Transmission_Governor_Pressure AD Breakpoint Table
Transmission_Governor_Pressure_Y_Axis,,0x018BAB00,2,PSI,0.0078125,Transmission_Governor_Pressure Lookup Output Table
Transmission_OD_Lamp,,0x018C1739,1,UNITLESS,1.0,Overdrive lamp state command to the dash
Transmission_Oil_Temperature,,0x011515CE,2,DEG_F,0.015625,Transmission_Oil_Temperature raw value linearized and filtered
Transmission_Oil_Temperature_AD_Enable,,0x0115320C,2,UNITLESS,0080,Enable bit for the Transmission_Oil_Temperature sensor.
Transmission_Oil_Temperature_Fault_Clear,,0x018BA40E,2,CNTS,1.0,Transmission_Oil_Temperature_Fault_Count when error cleared
Transmission_Oil_Temperature_Fault_Count,,0x018BA504,2,CNTS,1.0,Transmission_Oil_Temperature out of range error count
Transmission_Oil_Temperature_Fault_Decrement,,0x018BA40A,2,CNTS,1.0,Transmission_Oil_Temperature decrement value for setting error
Transmission_Oil_Temperature_Fault_Increment,,0x018BA408,2,CNTS,1.0,Transmission_Oil_Temperature increment value for setting error
Transmission_Oil_Temperature_Fault_Set,,0x018BA40C,2,CNTS,1.0,Transmission_Oil_Temperature_Fault_Count when error set
Transmission_Oil_Temperature_Filter_Constant,,0x018BA400,2,UNITLESS,0.0000152587890,Transmission_Oil_Temperature AD Filter Constant
Transmission_Oil_Temperature_Global_Default,,0x018BA402,2,DEG_F,0.015625,Transmission_Oil_Temperature AD global default value
Transmission_Oil_Temperature_High_Error,,0x01103624,2,UNITLESS,2000,Transmission_Oil_Temperature High Error Indication
