parameter,internal_name,address,size,unit,scale,description
ASG_Coefficient_1,AS01CF,0x01107B16,2,UNITLESS,0.003906,[AS01CF] ASG throttle mode compensation filter coef. 1 calibration
ASG_Coefficient_1_As,ASAP01CF,0x01117034,2,UNITLESS,0.00390625,[ASAP01CF] ASG application specific compensation filter coef. 1
ASG_Coefficient_1_Selected,ASSL01CF,0x01107C32,2,UNITLESS,0.00390625,[ASSL01CF] ASG selected compensation filter coef. 1
ASG_Coefficient_2,AS02CF,0x01107B18,2,UNITLESS,0.003906,[AS02CF] ASG throttle mode compensation filter coef. 2 calibration
ASG_Coefficient_2_As,ASAP02CF,0x01117036,2,UNITLESS,0.00390625,[ASAP02CF] ASG application specific compensation filter coef. 2
ASG_Coefficient_2_Selected,ASSL02CF,0x01107C34,2,UNITLESS,0.00390625,[ASSL02CF] ASG selected compensation filter coef. 2
ASG_Coefficient_3,AS03CF,0x01107B1A,2,UNITLESS,0.003906,[AS03CF] ASG throttle mode compensation filter coef. 3 calibration
ASG_Coefficient_3_As,ASAP03CF,0x01117038,2,UNITLESS,0.00390625,[ASAP03CF] ASG application specific compensation filter coef. 3
ASG_Coefficient_3_Selected,ASSL03CF,0x01107C36,2,UNITLESS,0.00390625,[ASSL03CF] ASG selected compensation filter coef. 3
ASG_Coolant_Fuel_Adjust_Table,ASCLNLYA,0x01132500,2,MM3S,0.06793479200,[ASCLNLYA] ASG - Coolant temp based fuel adjustment to no load fuel
ASG_Coolant_Fuel_Bkpt,ASCLNLXA,0x01132400,2,DEG_F,0.015625,[ASCLNLXA] ASG - Coolant temp adjust breakpoint table for no load fuel
ASG_Deadband_Compensation_Flag,,0x01107D16,2,UNITLESS,1,Enables algorithm to eliminate LSG-ASG transition deadband
ASG_Deadband_Delta_Decrement_Rate,,0x01107D18,2,MM3S,0.06793478400,Decrement rate per loop at 0 throttle in ASG mode
ASG_Delta,,0x01107C56,2,MM3S,0.06793478400,Calculated amount to add to ASG to eliminate LSG-ASG deadband
ASG_Delta_Droop,,0x01107D40,2,RPM/MM3S,0.00150000000,ASG delta droop from ASG_Delta_Max_Limit
ASG_Delta_Max_Limit,,0x01107D42,2,MM3S,0.06793478400,"ASG_Delta maximum allowable value, start droop value"
ASG_Delta_Offset,,0x01107D1A,2,MM3S,0.06793478400,"ASG deadband delta reduced by this amount, to add back some deadband"
ASG_Derivative_Dead_Band_Limit,ASDVDELM,0x01107D00,2,MM3S,0.06793478400,[ASDVDELM] ASG derivative dead band limit
ASG_Derivative_Filter_Coefficient,ASDVFTCF,0x01107D02,2,UNITLESS,0.000976563,[ASDVFTCF] ASG derivative filter coefficient calibration
ASG_Derivative_Gain_1,ASDV01GN,0x01107B12,2,MM3S*SEC/RPM,0.00000132685,[ASDV01GN] ASG derivative gain 1 calibration
ASG_Derivative_Gain_1_As,ASAP01DV,0x01117030,2,MM3S*SEC/RPM,0.00000132685,[ASAP01DV] ASG application specific derivative gain 1
ASG_Derivative_Gain_1_Selected,ASSL01DV,0x01107C38,2,MM3S*SEC/RPM,0.00000132685,[ASSL01DV] ASG selected derivative gain 1
ASG_Derivative_Gain_2,ASDV02GN,0x01107B14,2,MM3S*SEC/RPM,0.00000132685,[ASDV02GN] ASG Derivative gain 2 calibration
