ModuleID,Language,HelpFile
61,"EN","EN\insitehelp.chm"
62,"EN","EN\insitehelp.chm"
63,"EN","EN\insitehelp.chm"
64,"EN","EN\insitehelp.chm"
65,"EN","EN\insitehelp.chm"
66,"EN","EN\insitehelp.chm"
67,"EN","EN\insitehelp.chm"
68,"EN","EN\insitehelp.chm"
69,"EN","EN\insitehelp.chm"
70,"EN","EN\insitehelp.chm"
71,"EN","EN\insitehelp.chm"
71,"ES","ES\esqsx15.chm"
71,"JA","JA\jaqsx15.chm"
71,"PT","PT\brqsx15.chm"
72,"EN","EN\insitehelp.chm"
73,"EN","EN\insitehelp.chm"
75,"EN","EN\insitehelp.chm"
75,"JA","JA\jaqsm11.chm"
75,"ZH","ZH\zhsqsm11.chm"
76,"EN","EN\insitehelp.chm"
76,"JA","JA\jaqsm11.chm"
76,"ZH","ZH\zhsqsm11.chm"
77,"EN","EN\insitehelp.chm"
78,"EN","EN\insitehelp.chm"
79,"EN","EN\insitehelp.chm"
80,"EN","EN\insitehelp.chm"
80,"ES","ES\esqsb59.chm"
81,"EN","EN\insitehelp.chm"
81,"ES","ES\esqsc83qsl9.chm"
81,"TR","TR\trqsc83qsl9.chm"
81,"ZH","ZH\zhsqsc83qsl9.chm"
90,"EN","EN\insitehelp.chm"
90,"ES","ES\esisx.chm"
90,"PT","PT\brisx.chm"
93,"EN","EN\insitehelp.chm"
93,"ES","ES\esisxcm870.chm"
93,"PT","PT\brisxcm870.chm"
94,"EN","EN\insitehelp.chm"
94,"ES","ES\esisxcm870.chm"
94,"PT","PT\brisxcm870.chm"
95,"EN","EN\insitehelp.chm"
95,"JA","JA\jaism.chm"
95,"ZH","ZH\zhsism.chm"
98,"EN","EN\insitehelp.chm"
98,"PT","PT\brismcm870.chm"
98,"ZH","ZH\zhsismcm870.chm"
99,"EN","EN\insitehelp.chm"
99,"ZH","ZH\zhsismcm870.chm"
100,"EN","EN\insitehelp.chm"
100,"PT","PT\brisbe.chm"
100,"TR","TR\trisbe.chm"
100,"ZH","ZH\zhsisbe.chm"
104,"EN","EN\insitehelp.chm"
104,"JA","JA\jaisbcm850.chm"
104,"PT","PT\brisbcm850.chm"
104,"TR","TR\trisbcm850.chm"
105,"EN","EN\insitehelp.chm"
105,"FR","FR\friscisl2100.chm"
105,"ZH","ZH\zhsiscisl2100.chm"
106,"EN","EN\insitehelp.chm"
106,"FR","FR\friscisl2100.chm"
106,"ZH","ZH\zhsiscisl2100.chm"
107,"EN","EN\insitehelp.chm"
107,"PT","PT\brismcm870.chm"
107,"ZH","ZH\zhsismcm870.chm"
108,"DE","DE\deisbe4.chm"
108,"EN","EN\insitehelp.chm"
108,"ES","ES\esisbe4.chm"
108,"FR","FR\frisbe4.chm"
108,"IT","IT\itisbe4.chm"
108,"JA","JA\jaisbe4.chm"
108,"PT","PT\brisbe4.chm"
108,"TR","TR\trisbe4.chm"
108,"ZH","ZH\zhsisbe4.chm"
110,"DA","DA\dabase.chm"
110,"DE","DE\debase.chm"
110,"EN","EN\insitehelp.chm"
110,"ES","ES\esbase.chm"
110,"FI","FI\fibase.chm"
110,"FR","FR\frbase.chm"
110,"IT","IT\itbase.chm"
110,"JA","JA\jabase.chm"
110,"NL","NL\nlbase.chm"
110,"PT","PT\brbase.chm"
110,"SV","SV\svbase.chm"
110,"TR","TR\trbase.chm"
110,"ZH","ZH\zhsbase.chm"
114,"EN","EN\insitehelp.chm"
114,"JA","JA\jaisccm850.chm"
114,"PT","PT\brisccm850.chm"
114,"TR","TR\trisccm850.chm"
118,"DE","DE\deisbe4.chm"
118,"EN","EN\insitehelp.chm"
118,"ES","ES\esisbe4.chm"
118,"FR","FR\frisbe4.chm"
118,"IT","IT\itisbe4.chm"
118,"JA","JA\jaisbe4.chm"
118,"PT","PT\brisbe4.chm"
118,"TR","TR\trisbe4.chm"
118,"ZH","ZH\zhsisbe4.chm"
124,"EN","EN\insitehelp.chm"
124,"JA","JA\jaislcm850.chm"
124,"PT","PT\brislcm850.chm"
124,"TR","TR\trislcm850.chm"
125,"EN","EN\insitehelp.chm"
125,"FR","FR\frismcm876.chm"
125,"ZH","ZH\zhsismcm876.chm"
128,"EN","EN\insitehelp.chm"
128,"JA","JA\jaisbcm850.chm"
128,"PT","PT\brisbcm850.chm"
128,"TR","TR\trisbcm850.chm"
130,"EN","EN\insitehelp.chm"
130,"ES","ES\esqst30.chm"
130,"PT","PT\brqst30.chm"
131,"EN","EN\insitehelp.chm"
131,"ES","ES\esqst30.chm"
131,"PT","PT\brqst30.chm"
135,"EN","EN\insitehelp.chm"
135,"FR","FR\frisxcm871.chm"
220,"EN","EN\insitehelp.chm"
221,"DE","DE\deqskcm850.chm"
221,"EN","EN\insitehelp.chm"
221,"JA","JA\jaqskcm850.chm"
221,"PT","PT\brqskcm850.chm"
222,"EN","EN\insitehelp.chm"
224,"DE","DE\deqskcm850.chm"
224,"EN","EN\insitehelp.chm"
224,"JA","JA\jaqskcm850.chm"
224,"PT","PT\brqskcm850.chm"
225,"DE","DE\deqskcm850.chm"
225,"EN","EN\insitehelp.chm"
225,"JA","JA\jaqskcm850.chm"
225,"PT","PT\brqskcm850.chm"
250,"EN","EN\insitehelp.chm"
250,"JA","JA\jaqsbcm850.chm"
250,"PT","PT\brqsbcm850.chm"
260,"EN","EN\insitehelp.chm"
260,"JA","JA\jaqsccm850.chm"
260,"PT","PT\brqsccm850.chm"
270,"EN","EN\insitehelp.chm"
270,"JA","JA\jaqslcm850.chm"
270,"PT","PT\brqslcm850.chm"
280,"DE","DE\deqskcm850.chm"
280,"EN","EN\insitehelp.chm"
280,"JA","JA\jaqskcm850.chm"
280,"PT","PT\brqskcm850.chm"
290,"DE","DE\deqskcm850.chm"
290,"EN","EN\insitehelp.chm"
290,"JA","JA\jaqskcm850.chm"
290,"PT","PT\brqskcm850.chm"
